name	description	median_diff
Hs~MGC:BC021561.1~uORF:IOH14131	FACT complex subunit SPT16	524.5
Hs~MGC:BC017724.1~uORF:IOH10317	FIP1 like 1 (S. cerevisiae) (FIP1L1)	524.5
Hs~Ref:NM_000975.2~uORF:IOH1740	ribosomal protein L11 (RPL11)	523.5
Hs~MGC:BC058899.1~uORF:IOH29087	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae) (DSN1)	523.5
Hs~Ref:NM_173698.1~uORF:IOH59790	Protein FAM133A	522.5
Hs~Ref:NM_198493.1~uORF:IOH43276	ankyrin repeat domain 45 (ANKRD45)	522.0
Hs~Ref:NM_000442.2~uORF:IOH10695	platelet/endothelial cell adhesion molecule (CD31 antigen) (PECAM1)	522.0
Hs~Ref:NM_017646.3~uORF:IOH37769	tRNA isopentenyltransferase 1 (TRIT1)	522.0
Hs~MGC:BC032370.1~uORF:IOH21637	nicotinamide nucleotide transhydrogenase (NNT)	522.0
Hs~Ref:NM_001673.2~uORF:IOH5751	asparagine synthetase (ASNS), transcript variant 2	521.5
Hs~MGC:BC029541.1~uORF:IOH22564	leucine zipper-EF-hand containing transmembrane protein 2 (LETM2)	521.5
Hs~MGC:NM_178151.1~uORF:IOH22620	doublecortex; lissencephaly, X-linked (doublecortin) (DCX), transcript variant 4	521.0
Hs~MGC:BC050721.1~uORF:IOH27058	KIAA0562 (KIAA0562)	521.0
Hs~Ref:NM_032146.2~uORF:IOH10608	ADP-ribosylation factor-like 6 (ARL6), transcript variant 1	521.0
Hs~MGC:BC093020.1~uORF:IOH62682	Isocitrate dehydrogenase [NADP] cytoplasmic	521.0
Hs~Ref:NM_021637.1~uORF:IOH41185	transmembrane protein 35 (TMEM35)	520.0
Hs~Ref:NM_025193.2~uORF:IOH5538	3 beta-hydroxysteroid dehydrogenase type 7	520.0
Hs~Ref:NM_007045.2~uORF:IOH44725	FGFR1 oncogene partner (FGFR1OP), transcript variant 1	520.0
Hs~MGC:BC019902.1~uORF:IOH11985	coiled-coil domain containing 21 (CCDC21)	519.5
Hs~Ref:NM_170610.2~uORF:IOH40168	histone cluster 1, H2ba (HIST1H2BA)	519.5
Hs~MGC:BC033734.1~uORF:IOH21809	Uncharacterized protein C17orf66	519.5
Hs~Ref:NM_053055.2~uORF:IOH39985	thioesterase superfamily member 4 (THEM4)	519.0
Hs~Ref:NM_001039468.1~CAT:PV3878	MAP/microtubule affinity-regulating kinase 2 (MARK2), transcript variant 3	519.0
Hs~MGC:BC010697.1~uORF:IOH9799	RNA-binding protein 40	518.5
Hs~Ref:NM_180976.1~uORF:IOH43173	protein phosphatase 2, regulatory subunit B', delta isoform (PPP2R5D), transcript variant 2	518.5
Hs~MGC:BC002606.1~uORF:IOH4132	PDZ domain-containing protein 4	518.5
Hs~MGC:BC053351.1~uORF:IOH28952	distal-less homeobox 1 (DLX1)	518.0
Hs~Ref:NM_004164.2~uORF:IOH40388	retinol binding protein 2, cellular (RBP2)	518.0
Hs~Ref:NM_000588.3~uORF:IOH40240	interleukin 3 (colony-stimulating factor, multiple) (IL3)	518.0
Hs~Ref:NM_152785.3~uORF:IOH21630	germinal center expressed transcript 2 (GCET2), transcript variant 1	518.0
Hs~Ref:NM_003215.1~CAT:PV3269	tec protein tyrosine kinase (TEC)	517.5
Hs~Ref:NM_006110.1~uORF:IOH3469	CD2 (cytoplasmic tail) binding protein 2 (CD2BP2)	517.5
Hs~Ref:NM_014055.1~uORF:IOH23043	intraflagellar transport 81 homolog (Chlamydomonas) (IFT81), transcript variant 1	517.0
Hs~Ref:NM_005546.3~CAT:PV3875	IL2-inducible T-cell kinase (ITK)	516.5
Hs~Ref:NM_001007534.1~uORF:IOH59764	Putative uncharacterized protein C3orf56	515.5
Hs~MGC:BC018404.1~uORF:IOH21454	fibroblast growth factor 21 (FGF21)	515.5
Hs~MGC:BC022297.1~uORF:IOH12908	Diacylglycerol kinase epsilon	515.0
Hs~MGC:BC033710.1~uORF:IOH21756	DNA repair and recombination protein RAD54B	515.0
Hs~Ref:NM_145331.1~uORF:IOH29760	mitogen-activated protein kinase kinase kinase 7 (MAP3K7), transcript variant B	514.5
Hs~Ref:NM_007233.1~uORF:IOH5376	TP53 activated protein 1 (TP53AP1)	514.0
Hs~Ref:NM_175634.1~uORF:IOH42249	Protein CBFA2T1	514.0
Hs~Ref:NM_001311.2~uORF:IOH5361	Cysteine-rich protein 1	514.0
Hs~Ref:NM_016526.3~uORF:IOH28695	blocked early in transport 1 homolog (S. cerevisiae)-like (BET1L), transcript variant 2	513.5
Hs~MGC:BC035198.1~uORF:IOH28613	pyruvate kinase, muscle (PKM2)	513.5
Hs~MGC:BC016340.1~uORF:IOH12308	N-terminal EF-hand calcium-binding protein 1	513.0
Hs~Ref:NM_001033059.1~uORF:IOH59012	S-adenosylmethionine decarboxylase proenzyme	513.0
Hs~Ref:NM_002688.2~uORF:IOH12490	septin 5 (SEPT5)	513.0
Hs~MGC:BC057219.1~uORF:IOH29425	pyrophosphatase (inorganic) 2 (PPA2)	512.5
Hs~Ref:NM_004111.4~uORF:IOH3530	flap structure-specific endonuclease 1 (FEN1)	512.5
Hs~MGC:BC015202.2~uORF:IOH39942	centromere protein T (CENPT)	511.5
Hs~Ref:NM_000486.2~uORF:IOH27325	aquaporin 2 (collecting duct) (AQP2)	511.5
Hs~Ref:NM_175571.2~uORF:IOH44212	GTPase, IMAP family member 8 (GIMAP8)	511.0
Hs~Ref:NM_012279.1~uORF:IOH6492	zinc finger protein 346 (ZNF346)	510.5
Hs~MGC:BC025959.1~uORF:IOH14588	dynein, cytoplasmic 1, light intermediate chain 2 (DYNC1LI2)	510.5
Hs~Ref:NM_016310.2~uORF:IOH12571	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa (POLR3K)	510.0
Hs~MGC:BC005955.1~uORF:IOH7485	chromosome 8 open reading frame 53 (C8orf53)	509.5
Hs~MGC:NM_181526.1~uORF:IOH5278	myosin, light chain 9, regulatory (MYL9), transcript variant 2, mRNA.	509.5
Hs~MGC:BC046151.1~uORF:IOH26994	target of myb1 (chicken) (TOM1)	509.5
Hs~MGC:BC016853.1~uORF:IOH10348	cytochrome P450, family 4, subfamily F, polypeptide 11 (CYP4F11)	509.0
Hs~MGC:BC047393.1~uORF:IOH26537	ring finger and CHY zinc finger domain containing 1 (RCHY1)	508.0
Hs~Ref:NM_024515.1~uORF:IOH5172	WD repeat domain 25 (WDR25)	507.5
Hs~MGC:BC035959.1~uORF:IOH27984	cytochrome P450, family 19, subfamily A, polypeptide 1 (CYP19A1)	507.0
Hs~Ref:NM_002963.2~uORF:IOH22174	S100 calcium binding protein A7 (S100A7)	507.0
Hs~MGC:BC004969.1~uORF:IOH5105	cDNA clone IMAGE:2906290, complete cds	507.0
Hs~MGC:BC014210.2~uORF:IOH46147	arylsulfatase A (ARSA)	506.5
Hs~MGC:BC013119.1~uORF:IOH10459	signal-induced proliferation-associated 1 like 2 (SIPA1L2)	506.5
Hs~Ref:NM_003372.3~uORF:IOH26968	von Hippel-Lindau binding protein 1 (VBP1)	506.5
Hs~Ref:NM_016230.2~uORF:IOH10958	cytochrome b5 reductase 4 (CYB5R4)	506.5
Hs~Ref:NM_007135.1~uORF:IOH40671	zinc finger protein 79 (ZNF79)	506.5
Hs~MGC:BC005055.1~uORF:IOH6528	forkhead box P1 (FOXP1)	506.5
Hs~MGC:BC053545.1~uORF:IOH28972	tropomyosin 1 (alpha) (TPM1)	505.5
Hs~MGC:BC017789.1~uORF:IOH13662	cysteine and histidine-rich domain (CHORD)-containing 1 (CHORDC1)	505.0
Hs~Ref:NM_002811.3~uORF:IOH59072	26S proteasome non-ATPase regulatory subunit 7	505.0
Hs~Ref:NM_001018160.1~uORF:IOH59099	NEDD8-activating enzyme E1 regulatory subunit	504.5
Hs~Ref:NM_001715.1~N/A	Tyrosine-protein kinase BLK	504.5
Hs~Ref:NM_144970.1~uORF:IOH12670	Uncharacterized protein CXorf38	504.0
Hs~Ref:NM_003406.2~uORF:IOH3874	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide (YWHAZ), transcript variant 1	504.0
Hs~Ref:NM_020200.3~uORF:IOH3385	phosphoribosyl transferase domain containing 1 (PRTFDC1)	504.0
Hs~Ref:NM_001008220.1~uORF:IOH42361	complexin 2 (CPLX2), transcript variant 2	504.0
Hs~Ref:NM_139240.2~uORF:IOH27365	chromosome 1 open reading frame 105 (C1orf105)	503.5
Hs~Ref:NM_005206.2~uORF:IOH1805	v-crk sarcoma virus CT10 oncogene homolog (avian) (CRK), transcript variant I	503.0
Hs~Ref:NM_032028.2~CAT:PV3505	testis-specific serine kinase 1B (TSSK1B)	503.0
Hs~Ref:NM_138452.1~uORF:IOH54999	Dehydrogenase/reductase SDR family member 1	502.5
Hs~MGC:BC068514.1~uORF:IOH40543	NF-kappaB repressing factor (NKRF)	502.5
Hs~Ref:NM_018129.1~uORF:IOH5875	pyridoxamine 5'-phosphate oxidase (PNPO)	502.0
Hs~MGC:BC015548.1~uORF:IOH10351	RAB3A interacting protein (rabin3) (RAB3IP)	502.0
Hs~Ref:NM_080911.1~uORF:IOH43486	uracil-DNA glycosylase (UNG), transcript variant 2	501.5
Hs~Ref:NM_020397.1~CAT:PV3663	calcium/calmodulin-dependent protein kinase ID (CAMK1D), transcript variant 1	501.5
Hs~MGC:BC033790.1~uORF:IOH21793	chromosome 1 open reading frame 92 (C1orf92)	501.0
Hs~Ref:NM_001894.2~uORF:IOH21160	casein kinase 1, epsilon (CSNK1E), transcript variant 2	501.0
Hs~Ref:NM_002395.2~uORF:IOH12418	malic enzyme 1, NADP(+)-dependent, cytosolic (ME1)	501.0
Hs~Ref:NM_002412.1~uORF:IOH3104	O-6-methylguanine-DNA methyltransferase (MGMT)	500.5
Hs~MGC:BC073977.1~uORF:IOH61809	HLA class II histocompatibility antigen, DQ(5) alpha chain	500.0
Hs~Ref:NM_181349.1~uORF:IOH38225	SMAD specific E3 ubiquitin protein ligase 1 (SMURF1), transcript variant 2	500.0
Hs~MGC:BC001083.1~uORF:IOH3776	Protein MYLE	500.0
Hs~Ref:NM_013975.1~uORF:IOH40893	ligase III, DNA, ATP-dependent (LIG3), nuclear gene encoding mitochondrial protein, transcript variant alpha	499.5
Hs~Ref:NM_013322.2~uORF:IOH27109	sorting nexin 10 (SNX10)	499.5
Hs~MGC:BC009564.1~uORF:IOH9952	annexin A2 (ANXA2)	498.5
Hs~Ref:NM_018452.1~uORF:IOH22646	chromosome 6 open reading frame 35 (C6orf35)	498.5
Hs~Ref:NM_014465.2~uORF:IOH54963	Sulfotransferase family cytosolic 1B member 1	498.0
Hs~Ref:NM_005309.1~uORF:IOH9641	glutamic-pyruvate transaminase (alanine aminotransferase) (GPT)	498.0
Hs~Ref:NM_005046.2~uORF:IOH22164	kallikrein-related peptidase 7 (KLK7), transcript variant 1	497.5
Hs~MGC:BC007003.1~uORF:IOH7198	transglutaminase 4 (prostate) (TGM4)	497.0
Hs~Ref:NM_030636.1~uORF:IOH39935	Endonuclease/exonuclease/phosphatase family domain-containing protein 1	496.0
Hs~MGC:BC029509.1~uORF:IOH22569	DnaJ homolog subfamily C member 28	495.5
Hs~Ref:NM_134427.1~uORF:IOH45474	regulator of G-protein signaling 3 (RGS3), transcript variant 4	495.5
Hs~Ref:NM_004871.2~uORF:IOH45920	golgi SNAP receptor complex member 1 (GOSR1), transcript variant 1	495.5
Hs~Ref:NM_019101.2~uORF:IOH12125	apolipoprotein M (APOM)	495.5
Hs~Ref:NM_001821.2~uORF:IOH36065	choroideremia-like (Rab escort protein 2) (CHML)	495.5
Hs~MGC:NM_006857.1~uORF:IOH13197	putative nucleic acid binding protein RY-1 (RY1)	495.5
Hs~Ref:NM_001324.1~uORF:IOH6092	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa (CSTF1), transcript variant 2	495.0
Hs~Ref:NM_006675.3~uORF:IOH41496	tetraspanin 9 (TSPAN9)	494.5
Hs~Ref:NM_005432.2~uORF:IOH4056	X-ray repair complementing defective repair in Chinese hamster cells 3 (XRCC3), transcript variant 2	494.5
Hs~Ref:NM_004456.2~uORF:IOH9963	Polycomb protein EZH2	494.5
Hs~Ref:NM_001985.2~uORF:IOH40972	electron-transfer-flavoprotein, beta polypeptide (ETFB), transcript variant 1	494.0
Hs~Ref:NM_006822.1~uORF:IOH1937	RAB40B, member RAS oncogene family (RAB40B)	493.5
Hs~MGC:BC009738.1~uORF:IOH9861	phenazine biosynthesis-like protein domain containing (PBLD)	493.5
Hs~Ref:NM_032368.3~uORF:IOH39898	leucine zipper and CTNNBIP1 domain containing (LZIC)	493.0
Hs~MGC:BC050696.1~uORF:IOH27004	chromosome 12 open reading frame 48 (C12orf48)	492.5
Hs~MGC:BC010081.2~uORF:IOH13727	mannosidase, alpha, class 2C, member 1 (MAN2C1)	492.5
Hs~MGC:BC022340.1~uORF:IOH14764	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae) (SUMO2)	492.5
Hs~Ref:NM_145027.1~uORF:IOH10936	kinesin family member 6 (KIF6)	491.5
Hs~Ref:NM_002716.3~uORF:IOH42140	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	491.5
Hs~Ref:NM_003885.1~uORF:IOH11747	cyclin-dependent kinase 5, regulatory subunit 1 (p35) (CDK5R1)	491.0
Hs~MGC:BC053646.1~uORF:IOH28946	eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa (EIF2B5)	491.0
Hs~MGC:NM_152377.1~uORF:IOH11555	chromosome 1 open reading frame 87 (C1orf87)	490.5
Hs~MGC:BC010357.1~uORF:IOH14260	Arginine/serine-rich coiled-coil protein 1	490.0
Hs~Ref:NM_138623.2~uORF:IOH42179	BCL2-like 11 (apoptosis facilitator) (BCL2L11), transcript variant 3	490.0
Hs~MGC:BC000450.1~uORF:IOH3506	glyceronephosphate O-acyltransferase (GNPAT)	489.5
Hs~MGC:BC028141.1~uORF:IOH21529	mixed lineage kinase domain-like (MLKL)	489.5
Hs~Ref:NM_002974.1~uORF:IOH14839	serpin peptidase inhibitor, clade B (ovalbumin), member 4 (SERPINB4)	489.5
Hs~Ref:NM_197962.1~uORF:IOH43651	glutaredoxin 2 (GLRX2), transcript variant 2	489.5
Hs~Ref:NM_181462.1~uORF:IOH45485	mitochondrial ribosomal protein L55 (MRPL55), nuclear gene encoding mitochondrial protein, transcript variant 4	489.0
Hs~Ref:NM_006819.1~uORF:IOH5061	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein) (STIP1)	489.0
Hs~MGC:BC021906.1~uORF:IOH25790	formin-like 1 (FMNL1)	487.0
Hs~MGC:BC064945.1~uORF:IOH39953	SCY1-like 1 binding protein 1 (SCYL1BP1)	487.0
Hs~MGC:BC016745.2~uORF:IOH10673	capping protein (actin filament) muscle Z-line, alpha 3 (CAPZA3)	486.5
Hs~Ref:NM_080387.1~uORF:IOH21717	C-type lectin domain family 4, member D (CLEC4D)	486.5
Hs~Ref:NM_015039.2~uORF:IOH41247	nicotinamide nucleotide adenylyltransferase 2 (NMNAT2), transcript variant 1	486.0
Hs~Ref:NM_000365.2~uORF:IOH7523	triosephosphate isomerase 1 (TPI1)	485.5
Hs~Ref:NM_000860.1~uORF:IOH14612	hydroxyprostaglandin dehydrogenase 15-(NAD) (HPGD)	485.0
Hs~MGC:BC035875.2~uORF:IOH28741	Zinc finger protein 131	485.0
Hs~MGC:BC012266.2~uORF:IOH10538	ATG12 autophagy related 12 homolog (S. cerevisiae) (ATG12)	485.0
Hs~Ref:NM_173561.1~uORF:IOH27333	UNC5C-like protein	485.0
Hs~MGC:BC005065.1~uORF:IOH6560	ELKS/RAB6-interacting/CAST family member 1 (ERC1)	484.5
Hs~MGC:BC020550.1~uORF:IOH10324	churchill domain containing 1 (CHURC1)	484.5
Hs~Ref:NM_001569.2~CAT:PV4403	Interleukin-1 receptor-associated kinase 1	484.5
Hs~MGC:BC015497.1~uORF:IOH11495	Transcriptional enhancer factor TEF-3	484.0
Hs~Ref:NM_003188.2~N/A	mitogen-activated protein kinase kinase kinase 7 (MAP3K7), transcript variant A	484.0
Hs~Ref:NM_007111.2~uORF:IOH13752	transcription factor Dp-1 (TFDP1)	484.0
Hs~Ref:NM_173191.2~uORF:IOH39568	Kv channel interacting protein 2 (KCNIP2), transcript variant 2	483.5
Hs~Ref:NM_003600.1~CAT:PV3612	aurora kinase A (AURKA), transcript variant 2	483.5
Hs~MGC:BC005830.2~uORF:IOH46117	annexin A9 (ANXA9)	483.5
Hs~Ref:NM_025104.2~uORF:IOH59472	Protein DBF4 homolog B	483.5
Hs~MGC:NM_152614.1~uORF:IOH22756	Uncharacterized protein C2orf57	483.5
Hs~MGC:BC013393.2~uORF:IOH13082	adducin 1 (alpha) (ADD1)	483.5
Hs~Ref:NM_000609.3~uORF:IOH40945	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1) (CXCL12), transcript variant 2	483.5
Hs~Ref:NM_005793.3~uORF:IOH3852	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase) (NME6)	483.0
Hs~MGC:BC005259.1~uORF:IOH7202	X-ray repair complementing defective repair in Chinese hamster cells 4 (XRCC4)	482.5
Hs~MGC:BC002950.1~uORF:IOH46164	chromosome 18 open reading frame 8 (C18orf8)	482.5
Hs~MGC:BC033629.1~uORF:IOH21894	chromosome 20 open reading frame 77 (C20orf77)	482.0
Hs~Ref:NM_018410.2~uORF:IOH5020	Holliday junction recognition protein	481.5
Hs~Ref:NM_002916.1~uORF:IOH13786	replication factor C (activator 1) 4, 37kDa (RFC4), transcript variant 1	481.5
Hs~Ref:NM_016440.1~N/A	Serine/threonine-protein kinase VRK3	481.0
Hs~MGC:BC054033.1~uORF:IOH29124	methionine sulfoxide reductase A (MSRA)	481.0
Hs~MGC:BC065533.1~uORF:IOH61590	Inositol hexakisphosphate kinase 2	481.0
Hs~Ref:NM_001028.2~uORF:IOH5471	ribosomal protein S25 (RPS25)	480.5
Hs~MGC:BC047901.2~uORF:IOH28877	actinin, alpha 2 (ACTN2)	480.5
Hs~Ref:NM_005851.2~uORF:IOH5446	CDK2-associated protein 2 (CDK2AP2)	480.5
Hs~MGC:BC014949.1~uORF:IOH13331	DEXH (Asp-Glu-X-His) box polypeptide 58 (DHX58)	480.0
Hs~MGC:BC005139.2~uORF:IOH4709	ubiquitin specific peptidase 5 (isopeptidase T) (USP5)	479.5
Hs~Ref:NM_024430.1~uORF:IOH27423	proline-serine-threonine phosphatase interacting protein 2 (PSTPIP2)	479.5
Hs~Ref:NM_002436.2~uORF:IOH3460	membrane protein, palmitoylated 1, 55kDa (MPP1)	479.5
Hs~Ref:NM_198266.1~uORF:IOH44502	inhibitor of growth family, member 3 (ING3), transcript variant 2	479.5
Hs~Ref:NM_032548.2~uORF:IOH45815	ankyrin repeat and BTB (POZ) domain containing 1 (ABTB1), transcript variant 1	478.5
Hs~Ref:NM_006875.1~CAT:PV3649	Serine/threonine-protein kinase Pim-2	478.0
Hs~MGC:BC021682.1~uORF:IOH12127	glycine-N-acyltransferase-like 2 (GLYATL2)	477.5
Hs~Ref:NM_002370.2~uORF:IOH10502	mago-nashi homolog, proliferation-associated (Drosophila) (MAGOH)	477.5
Hs~MGC:BC022325.1~uORF:IOH12465	polyhomeotic homolog 3 (Drosophila) (PHC3)	477.0
Hs~Ref:NM_032284.2~uORF:IOH46080	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A (PRPF38A), transcript variant 1	476.5
Hs~Ref:NM_030814.4~uORF:IOH23215	chromosome 9 open reading frame 45 (C9orf45)	476.5
Hs~Ref:NM_005825.2~uORF:IOH39691	RAS guanyl releasing protein 2 (calcium and DAG-regulated) (RASGRP2), transcript variant 1	476.5
Hs~MGC:BC014486.1~uORF:IOH13590	CAP-Gly domain-containing linker protein 3	476.5
Hs~Ref:NM_005746.1~uORF:IOH44532	pre-B-cell colony enhancing factor 1 (PBEF1)	476.0
Hs~MGC:BC021253.2~uORF:IOH14624	chromosome 9 open reading frame 58 (C9orf58)	475.5
Hs~Ref:NM_172070.2~uORF:IOH38243	zinc finger protein 650 (ZNF650)	475.5
Hs~MGC:BC030597.1~uORF:IOH22318	ATR interacting protein (TREX1)	475.0
Hs~Ref:NM_153261.3~uORF:IOH22075	Transmembrane protein 188	475.0
Hs~Ref:NM_007075.3~uORF:IOH45934	WD repeat domain 45 (WDR45), transcript variant 1	475.0
Hs~Ref:NM_001006605.1~uORF:IOH45941	family with sequence similarity 69, member A (FAM69A)	475.0
Hs~Ref:NM_002053.1~uORF:IOH5246	guanylate binding protein 1, interferon-inducible, 67kDa (GBP1)	475.0
Hs~MGC:BC062423.1~uORF:IOH40739	chromosome 7 open reading frame 41 (C7orf41)	474.5
Hs~Ref:NM_006241.2~uORF:IOH5954	protein phosphatase 1, regulatory (inhibitor) subunit 2 (PPP1R2)	474.5
Hs~Ref:NM_001008491.1~uORF:IOH53945	Septin-2	474.0
Hs~Ref:NM_020992.2~uORF:IOH2948	PDZ and LIM domain 1 (elfin) (PDLIM1)	473.5
Hs~Ref:NM_006325.2~uORF:IOH10063	GTP-binding nuclear protein Ran	473.5
Hs~Ref:NM_016487.1~uORF:IOH12876	chromosome 6 open reading frame 203 (C6orf203)	473.5
Hs~MGC:BC095401.1~uORF:IOH62645	AKT-interacting protein	473.0
Hs~MGC:BC010852.1~uORF:IOH9927	Aflatoxin B1 aldehyde reductase member 2	473.0
Hs~MGC:BC013708.1~uORF:IOH25782	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2)	472.5
Hs~MGC:BC006969.1~uORF:IOH7343	dynein, cytoplasmic 2, light intermediate chain 1, mRNA (cDNA clone MGC:12166 IMAGE:3828551), complete cds	472.0
Hs~Ref:NM_152392.1~uORF:IOH42004	Activator of 90 kDa heat shock protein ATPase homolog 2	472.0
Hs~Ref:NM_003986.1~uORF:IOH12345	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1 (BBOX1)	471.5
Hs~Ref:NM_138326.1~uORF:IOH12970	aminocarboxymuconate semialdehyde decarboxylase (ACMSD)	471.5
Hs~Ref:NM_003068.2~uORF:IOH10082	snail homolog 2 (Drosophila) (SNAI2)	471.0
Hs~Ref:NM_178571.2~uORF:IOH26524	hypothetical protein MGC51025 (MGC51025)	471.0
Hs~Ref:NM_173194.2~uORF:IOH39571	Kv channel interacting protein 2 (KCNIP2), transcript variant 5	471.0
Hs~Ref:NM_003996.2~uORF:IOH60395	glutathione peroxidase 5 (epididymal androgen-related protein) (GPX5), transcript variant 2, mRNA.	470.5
Hs~MGC:BC067755.1~uORF:IOH40120	potassium channel tetramerisation domain containing 18 (KCTD18)	470.5
Hs~Ref:NM_138559.1~uORF:IOH43559	B-cell CLL/lymphoma 11A (zinc finger protein) (BCL11A), transcript variant 3	470.0
Hs~Ref:NM_199139.1~uORF:IOH44783	XIAP associated factor-1 (XAF1), transcript variant 2	469.5
Hs~Ref:NM_006247.2~uORF:IOH3193	protein phosphatase 5, catalytic subunit (PPP5C)	468.0
Hs~Ref:NM_004697.3~uORF:IOH12861	PRP4 pre-mRNA processing factor 4 homolog (yeast) (PRPF4)	468.0
Hs~Ref:XM_376658.1~uORF:IOH44528	Putative zinc-alpha-2-glycoprotein-like 1	468.0
Hs~MGC:BC096212.2~uORF:IOH63220	proline-rich protein BstNI subfamily 3, mRNA (cDNA clone IMAGE:40004745), complete cds.	468.0
Hs~MGC:NM_058163.1~uORF:IOH14811	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae) (TSR2)	468.0
Hs~Ref:NM_201432.1~uORF:IOH40915	growth arrest-specific 7 (GAS7), transcript variant b	468.0
Hs~MGC:BC067826.1~uORF:IOH61627	mortality factor 4 like 1, mRNA (cDNA clone MGC:87361 IMAGE:4824022), complete cds	467.5
Hs~Ref:NM_007106.2~uORF:IOH29272	ubiquitin-like 3 (UBL3)	467.0
Hs~Ref:NM_015698.2~uORF:IOH3563	G patch domain and KOW motifs (GPKOW)	466.5
Hs~Ref:NM_014284.1~uORF:IOH11121	neurochondrin (NCDN), transcript variant 3	466.5
Hs~MGC:BC009294.1~uORF:IOH14145	ribosomal protein L14 (RPL14)	466.0
Hs~Ref:NM_001009609.1~uORF:IOH44772	SPANX family, member N3 (SPANXN3)	465.5
Hs~MGC:BC042637.1~uORF:IOH21048	activin A receptor type II-like 1 (ACVRL1)	465.5
Hs~Ref:NM_004443.2~N/A	Ephrin type-B receptor 3	465.0
Hs~MGC:BC035968.1~uORF:IOH27970	chloride intracellular channel 5 (CLIC5)	465.0
Hs~Ref:NM_024038.2~uORF:IOH5926	chromosome 19 open reading frame 43 (C19orf43)	465.0
Hs~Ref:NM_016282.2~uORF:IOH11046	adenylate kinase 3 (AK3)	464.0
Hs~Ref:NM_017971.1~uORF:IOH13615	mitochondrial ribosomal protein L20 (MRPL20), nuclear gene encoding mitochondrial protein	463.5
Hs~MGC:BC017066.1~uORF:IOH11186	Protein PPRC1	463.5
Hs~MGC:BC007401.2~uORF:IOH5852	cell division cycle 25 homolog A (S. pombe) (CDC25A)	463.5
Hs~MGC:BC016987.1~uORF:IOH11787	family with sequence similarity 44, member A (FAM44A)	463.5
Hs~Ref:NM_002805.1~uORF:IOH3508	proteasome (prosome, macropain) 26S subunit, ATPase, 5 (PSMC5)	463.0
Hs~MGC:BC002369.1~N/A	Serine/threonine-protein kinase PLK1	463.0
Hs~MGC:BC050434.1~uORF:IOH26685	hypothetical protein FLJ10154 (FLJ10154)	462.5
Hs~MGC:BC000718.1~uORF:IOH4584	dynactin 2 (p50) (DCTN2)	462.5
Hs~MGC:BC061590.1~uORF:IOH29302	GTF2I repeat domain containing 2 (GTF2IRD2)	462.0
Hs~MGC:BC067299.1~uORF:IOH40040	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse) (MDM4)	462.0
Hs~MGC:BC009398.1~uORF:IOH14462	minichromosome maintenance complex component 7 (MCM7)	462.0
Hs~Ref:NM_002358.2~uORF:IOH7559	MAD2 mitotic arrest deficient-like 1 (yeast) (MAD2L1)	462.0
Hs~Ref:NM_013347.1~uORF:IOH40374	replication protein A4, 34kDa (RPA4)	462.0
Hs~MGC:BC010889.1~uORF:IOH12754	coiled-coil domain containing 53 (CCDC53)	462.0
Hs~Ref:NM_002421.2~uORF:IOH59103	Interstitial collagenase	461.5
Hs~Ref:NM_006998.3~uORF:IOH56717	Secretagogin	461.5
Hs~Ref:NM_054033.1~uORF:IOH4141	FK506 binding protein 1B, 12.6 kDa (FKBP1B), transcript variant 2	461.0
Hs~Ref:NM_003574.2~uORF:IOH5040	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa (VAPA), transcript variant 1	461.0
Hs~Ref:NM_014764.1~uORF:IOH6730	DAZ-associated protein 2	461.0
Hs~Ref:NM_015938.2~uORF:IOH12752	NMD3 homolog (S. cerevisiae) (NMD3)	460.5
Hs~Ref:NM_000364.2~uORF:IOH44471	troponin T type 2 (cardiac) (TNNT2), transcript variant 1	460.0
Hs~MGC:BC014665.1~uORF:IOH14248	alcohol dehydrogenase 5 (class III), chi polypeptide (ADH5)	460.0
Hs~Ref:NM_002624.2~uORF:IOH45929	prefoldin subunit 5 (PFDN5), transcript variant 1	460.0
Hs~Ref:NM_016069.8~uORF:IOH6645	mitochondria-associated protein involved in granulocyte-macrophage colony-stimulating factor signal transduction (Magmas), nuclear gene encoding mitochondrial protein	459.5
Hs~Ref:NM_207002.1~uORF:IOH58626	BCL2-like 11 (apoptosis facilitator) (BCL2L11), transcript variant 9, mRNA.	459.5
